ORIGIN_AIRPORT,source_airport_avg_delay,destination_airport_avg_delay,airport_avg_taxi_out_time,airport_avg_taxi_in_time,total_airline_delay,total_security_delay,total_air_system_delay,total_late_aircraft_delay,total_weather_delay
CLT,5.505885722733488,1.756139798488665,17.737692621129057,7.083167017777285,412764.0,5752.0,354127.0,314874.0,43323.0
CMH,3.0850815397189897,4.596514381089158,16.850522066529518,8.819717432763788,88640.0,130.0,71881.0,117507.0,15453.0
CMI,3.0168641750227896,1.8307552320291174,18.061419472247497,15.51640838650866,8385.0,0.0,7374.0,7307.0,5733.0
CMX,4.784660766961652,3.554733727810651,19.644970414201183,11.193215339233038,2553.0,18.0,1362.0,3563.0,383.0
CNY,-20.678048780487806,-11.575609756097561,10.473170731707317,4.5024390243902435,0.0,0.0,4.0,161.0,0.0
COD,8.10850439882698,3.870206489675516,20.491150442477878,7.288856304985337,2579.0,50.0,2066.0,2348.0,1095.0
COS,7.182499659261278,9.593673302427051,18.853149713662393,9.67588932806324,47132.0,0.0,20947.0,20548.0,7156.0
COU,10.876379690949227,9.354956268221574,18.893586005830905,13.350257542310523,10127.0,0.0,5861.0,6167.0,3154.0
CPR,-4.570133333333334,-1.2525252525252526,18.788942052099948,7.7552,2198.0,32.0,3247.0,5766.0,950.0
CRP,6.365877712031558,8.68224852071006,14.56173570019724,8.453254437869823,12519.0,41.0,11143.0,32021.0,4129.0
CRW,10.080708661417322,7.370720188902007,18.285320739866194,8.930708661417324,8687.0,0.0,8914.0,16636.0,2573.0
CSG,4.379605826906598,8.123182207014542,18.356715141146278,8.12853470437018,2877.0,0.0,1483.0,6449.0,0.0
CVG,5.253599062133646,5.536431574030827,18.857216254086875,9.295849941383352,73248.0,70.0,79023.0,98290.0,10402.0
CWA,3.5453333333333332,7.120080053368913,20.699132755170112,13.738,3139.0,0.0,7066.0,6184.0,589.0
DAB,-0.8377028714107366,1.4569288389513109,16.187265917602996,9.6729088639201,3887.0,0.0,2606.0,4647.0,193.0
DAL,7.7077824215776145,3.782400497512438,11.599751243781094,5.958765129033762,240635.0,499.0,120250.0,315081.0,46989.0
DAY,3.7593529929577465,4.9990115321252055,18.024931356397584,9.542033450704226,21015.0,70.0,34209.0,41771.0,3247.0
DBQ,1.1122770199370409,2.59601259181532,17.535152151101784,16.017838405036727,1251.0,0.0,3299.0,4261.0,1988.0
DCA,2.769122483715335,3.6438282578945347,16.730134165526238,7.58976721567423,200040.0,955.0,256692.0,350292.0,53798.0
DEN,6.4873157572855575,4.582792739352237,14.906143077470636,6.747144800906457,794314.0,922.0,561787.0,1072345.0,94362.0
DFW,6.355260293599623,5.263580092708247,14.833708052294114,6.462065171358799,1126677.0,5794.0,564754.0,1089522.0,277990.0
DHN,9.115214180206795,5.10693215339233,18.755162241887906,8.459379615952733,5964.0,0.0,3827.0,7372.0,0.0
DIK,-4.25562372188139,-3.3394871794871794,19.846153846153847,7.270961145194274,2680.0,605.0,1730.0,2412.0,851.0
